Nombre,AI keywords,Resumen generado por la IA,País,URL,Instituciones,Destinatarios,Fecha de cierre,Publicar,Geolocation,Latitude,Longitude,Entidad
Fondo Nacional de las Artes: línea de Préstamos para industrias culturales,Préstamos para industrias culturales,Préstamos ind. culturales,Argentina,https://www.recursosculturales.com/fondo-nacional-de-las-artes-prestamos-industrias-culturales/,,Revisar,"December 31, 2026",No,,,,Fondo Nacional de las Artes
Fondo Nacional de las Artes: línea de Préstamos para Proyectos Culturales,Préstamos Culturales,Fondo Nacional de Artes: Préstamos,Argentina,https://www.recursosculturales.com/fondo-nacional-de-las-artes-prestamos/,,Revisar,"December 31, 2025",No,,,,
Residencias Jiser 2024-2025,"Residencias, oportunidad para artistas, programa de residencia",Jiser 2024-2025,Múltiples países,https://www.arteinformado.com/agenda/f/residencias-jiser-2024-2025-231208,,Revisar,"July 15, 2025",No,,,,Residencias Jiser
Premio a la Ilustración Latinoamericana 2025 “Ecos Latinos”,Ilustradores,Premio Ilustración 2025,Argentina,https://www.recursosculturales.com/premio-ilustracion-latinoamericana/,,Revisar,"July 2, 2025",No,,,,
"Metamorphosis, Arquetopia Summer Program-Academic Residency","Metamorfosis Arquetopia, programa de residencia, residencia artística",Metamorfosis Arquetopia,Múltiples países,https://www.recursosculturales.com/metamorphosis-arquetopia-summer-program-academic-residency/,,Revisar,"June 14, 2025",No,,,,Arquetopia
Sony World Photography Awards abre su convocatoria 2025,fotografía,Sony World Photo Awards 2025,Global,https://www.recursosculturales.com/sony-world-photography-awards-convocatoria/,,Revisar,"June 10, 2025",No,,,,Sony World Photography Awards
CEWE Photo Award 2024,concurso de fotografía,CEWE Photo Award 2024,España,https://www.arteinformado.com/agenda/f/cewe-photo-award-2024-230706,,Revisar,"May 30, 2025",No,,,,CEWE
III Concurso Internacional de Escultura ICRE: Transformación,"Concurso Internacional de Escultura, Transformación, escultura",Concurso Escultura ICRE,España,https://www.arteinformado.com/agenda/f/iii-concurso-internacional-de-escultura-icre-transformacion-233512,,Revisar,"May 18, 2025",No,,,,
Convocatoria de cortometrajes para La Guarimba International Film Festival,Festival de Cine,Cortos La Guarimba,Italia,https://www.recursosculturales.com/la-guarimba-film-festival/,,Revisar,"March 31, 2025",No,,,,
Multi-Residencia,Residencia para artistas,Multi-Res,España,https://app.datarte.art/convocatorias/multi-residencia,,Revisar,"March 15, 2025",No,,,,
