Nombre,Disciplina
Becas de la Fundación Pollock-Krasner para artistas visuales en Estados Unidos,Visuales
Sony World Photography Awards abre su convocatoria 2025,Fotografía
Venice Artist Residency,"Diseño, Gráfica, Ilustración"
RESIDENCY,Artes visuales
The Lab Program 2024,Multidisplinar
OPEN CALL 2024,"Grabado, Pintura, Escultura"
Artist Residency,"Multidisciplinar, Música, Literatura"
The Sony World Photography Awards,Fotografía
Factory AiR Application,Artes visuales
EXHIBITING AT THE MATTIE KELLY ARTS CENTER,Artes visuales
Convocatoria exposición Colectiva para el BDSM Film Festival de Barcelona,"Cine, Cortos"
Art Critique Program,Artes Visuales
"Becas del DAAD para maestría en Bellas Artes, Diseño o Cine en Alemania","Visuales, Diseño, Cine"
Solo Virtual Exhibitions on Artistic Hub,Artes visuales
Proyecto escultórico en Cali,Escultura
APAPACHO | Residencia Artística en CDMX,"Curaduría, Investigación, Artes"
Cista Arts: Artist Room Residency,Multidisciplinar
NARS Residency Program: Rolling Admission for Inte...,Multidisciplinar
Convocatoria Abierta: Premio Crítica Joven AICA 20...,"Pintura, escultura, música."
"Cista Arts: Open Call for ""Platform for Emerging A...","Video, artes visuales, cine."
"Edutainment Productions Inc.: ""Installing our Futu...","Visual, Performance, Literary"
II Concurso de Arte Contemporáneo Creadoras 2024-2025 - Transformaciones: Humanidad,"Performance, video, instalación."
XXII Premio Eurostars Grand Marina de Fotografía,Fotografía
Next-Gen Opera (Mortier Award),La oportunidad educativa del Mortier Next Generation Award está dirigida a estudiantes y graduados de artes escénicas interesados en el arte contemporáneo. ¡Una gran oportunidad para desarrollar habilidades profesionales!
"Fine Art Awards 2024, convocados por Dodho Magazine",Fotografía
Programa PICE de movilidad – Acción Cultural Española 2025,Multidisciplinar
Festival de Cine en Guadalajara abre convocatorias para sus Programas de Industria,"Cine, animación, documental, serie, sonido."
I Premio de Pintura de Puy du Fou España,"Literatura, Pintura"
Convocatoria de grabados La Salita,"Dibujo, pintura, grabado."
Convocatoria #Sala10 MUAC,"Arte visual, arquitectura, diseño"
"Convocatoria de proyectos, MAC Chile","Arte visual, curaduría, gestión cultural"
Beca Candela  para residencia de creación en el entorno de 5 Pueblos Originarios de Ecuador,"Teatro, Performance, Video"
Premio de Teatro José Martín Recuerda abre plazo para presentación de obras (España),"Teatro, Literatura"
PINTA LIMA 2025 APERTURA DE APLICACIONES DE GALERIAS,"Visuales, fotografía, videoarte"
60 Premio Reina Sofía de Pintura y Escultura,"Pintura, escultura"
Convocatoria Fondo de Inversión Audiovisual (FIA) 2025,"Artes de la visualidad, Artesanía, Diseño, Folklore y cultura tradicional, Fondart Nacional, Interdisciplinas."
El Festival de Teatro Clásico de Almagro convoca para su programación oficial 2025,Teatro
Premio Internacional de Poesía “Dolors Alberola”,Literatura
Premio de Novela Corta Francisco Ayala,"Narrativa, Traducción, Literatura."
Convocatoria — dip.com.ar,La Fundación de Arte para Latinoamericanos DIP convoca a artistas de América Latina a su residencia anual. Chance de aprendizaje y ubicación incluidos.
Convocatoria Festival Inundart 2025,"visuales, instalaciones, performance"
Visión de ciudad,"Arte urbano, muralismo, graffiti"
"III Premio Internacional de Pintura ""José Gordillo""",Pintura
Convocatoria Abierta de Arte y Tecnología FILE 2025,"Artes digitales, arte público"
Taller-Laboratorio intensivo y Exposición Estudio Ananké Assef,"Este taller intensivo y exposición organizado por Estudio Ananke Assef es una oportunidad de desarrollo para artistas interesados en fotografía y videoarte. No es una residencia, pero puede ser una oportunidad de financiación."
"Light Work ofrece becas para residencias de artistas en Syracuse, Estados Unidos","Fotografía, tecnología"
Aperture Portfolio Prize abre convocatoria para nuevos talentos en fotografía,Fotografía
Residencia de Escritores Malba (REM) abre su convocatoria 2025,"La residencia de escritores del MALBA ofrece una gran oportunidad de desarrollo profesional para escritores hispanohablantes. Organizado por una reconocida institución cultural, brinda una experiencia enriquecedora y fomenta la creación literaria."
Feira Ibérica de Teatro | FIT,"Teatro, danza, circo."
Open Calls: For Projects – LIVEMX,Música
"Residencia Mango, la realidad de nuestra tierra contada por artistas en un mapa virtual","Visuales, investigación"
14.ª convocatoria de residencias creativas Eufònic / Lo Pati,Multidisciplinar
Convocatoria Abierta l Residencias Artísticas Barcelona 2025 l Invierno - Primavera,Visuales
Pintemos nuestra historia,"Pintura, Arquitectura, Escultura"
"Franquearte: Convocatoria de Arte ""Naturaleza Fragmentada"" ","Artes gráficas, Fotografía, Pintura"
Concurso de cortometrajes sociales FestivaliCCOO en corto 2025,Cine
Praxis Gallery abre convocatoria de fotografía con el tema “Paisajes”,"Fotografía, visuales, formación"
MODE - Premio a intérpretes de la Fundación GDA,Música
Concurso para artistas venezolanas,"Dibujo, pintura, grabado, cerámica, escultura, fotografía, instalaciones, nuevos medios, medios mixtos, performance, videoarte, arte sonoro, net.art, arte digital, artes gráficas, artesanía, diseño."
" X Premios Nacionales de Cerámica 2024 ","Arte cerámico, escultura, pintura, arquitectura, educación artística."
Proyectos colaborativos en Madrid,Multidisciplinar
Bienal de Escultura de La Granadella,Escultura
