Nombre,Resumen generado por la IA,Destinatarios,URL,País,Fecha de cierre,AI keywords,Publicar,Entidad,Obtener Disciplinas,Obtener Base URL,Base URL,Categoría,Disciplina
Arquetopia: Natural Pigments Instructional Residen...,"Residencia ""Natural Pigments Instructional"" en",Revisar,https://www.arquetopia.org/natural-pigments-residency,,"January 1, 2026",,No,Natural Pigments,,,,Residencia,
Arquetopia: Mexican Ceramics Residency Program,"Residencia ""Arquetopia Ceramics"" en México",Revisar,https://www.arquetopia.org/mexican-ceramics-residency,,"January 1, 2026",,No,Arquetopia,,,,Residencia,
Metamorphosis: Adjusting in a New Tempo Arquetopia...,"Oportunidad ""Arquetopia"" en",Revisar,https://www.arquetopia.org/arquetopiasummer-2025,,"January 1, 2026",,No,Arquetopia,,,,Residencia,
Arquetopia: Peruvian Textiles Instructional Reside...,,Revisar,https://www.arquetopia.org/peruvian-textiles-residency,,"January 1, 2026",,No,Arquetopia,,,,Residencia,
Arquetopia: Organic Painting Instructional Residen...,"Residencia ""Organic Painting Instructional"" en",Revisar,https://www.arquetopia.org/organic-painting-residency,,"January 1, 2026",,No,Organic Painting,,,,Residencia,
Arquetopia: Art History or Cultural Research Resid...,"Residencia ""Art History or Cultural Research"" en",Revisar,https://www.arquetopia.org/art-history-or-cultural-research-residency,,"January 1, 2026",,No,Arquetopia,,,,Residencia,
"Arquetopia: Art, Design or Photography Residency P...","Residencia ""Arquetopia Art, Design o Photography"" en",Revisar,https://www.arquetopia.org/art-design-or-photography-residency,,"January 1, 2026",,No,Arquetopia,,,,Residencia,
Open Call: 2025 ARTCRY Grant,"Beca ""ARTCRY Grant"" en Reino Unido",Revisar,https://www.artcry.co.uk/apply,,"January 1, 2026",,No,ARTCRY,,,,Convocatoria,
La Porte Peinte: Open Call for 2025,"Residencia ""La Porte Peinte"" en",Revisar,https://laportepeinte.com/residencies/apply/,,"January 1, 2026",,No,La Porte Peinte,,,,Convocatoria,
Artist Residency Winter/Spring 2025 by Arts Letter...,"Residencia ""Artist Residency"" en",Revisar,https://www.artslettersandnumbers.com/artist-residency,,"January 1, 2026",,No,Arts Letters and Numbers,,,,Residencia,
Programa de Residencias Nacionales e Internacional...,"Residencia ""Art Residency"" en",Revisar,https://www.proyectopac.com/art-residency.html,,"January 1, 2026",,No,Proyecto PAC,,,,Residencia,
Arquetopia: Pre-Columbian Ceramics Instructional R...,,Revisar,https://www.arquetopia.org/pre-columbian-ceramics-residency,,"December 31, 2025",,No,Arquetopia,,,,Residencia,
PKF Grants by Pollock-Krasner Foundation,"Beca ""PKF Grants"" en",Revisar,https://pkf.org/apply/,,"December 31, 2025",,No,Pollock-Krasner Foundation,,,,Fondo,
Culture and Creativity for the Western Balkans: Small Grants for Individuals in Western Balkans,"Beca ""Culture and Creativity for the Western Balkans"" en Western Balkans",Revisar,https://on-the-move.org/news/culture-and-creativity-western-balkans-small-grants-individuals-western-balkans,,"December 31, 2025",,No,On The Move,,,https://on-the-move.org/news/culture-and-creativity-western-balkans-small-grants-individuals-western-balkans,Fondos,
Activando los Ecosistemas Artísticos,,,https://app.datarte.art/convocatorias/franquearte,,"December 31, 2025",,No,Franquearte,,,,Convocatoria,
Open Call: Bienal de Ex-Libris Eróticos,"Convocatoria ""Bienal de Ex-Libris Eróticos"" en",Revisar,https://contratalla.art/index.php/2025/01/21/xii-biennal-internacional-dex-libris-contratalla/,,"September 16, 2025",,No,Contratalla,,,,Convocatoria,
XII Bienal Internacional de Ex-Libris,"Convocatoria ""XII Bienal Internacional de Ex-Libris"" en España",Revisar,https://app.datarte.art/convocatorias/bienal-ex-libris-2025,España,"September 10, 2025",,No,Datarte,,,,Convocatoria,
